order_date,day_shift,machine_no,order_seq,order_id,mold_no,item_code,item_desc,cavity,cycle_time,order_hour,order_qty,machine_grp,process_type,item_unit,paralel_process
2016-10-13,1,1113,1,412140,88912-71L00-RC1,88912-71L00,CUSHION REAR,48,371,8,3720,RC200,RC,Pcs,0
2016-10-13,1,1118,1,412121,M578C34001A-RC1,M578C34001A,PACKING,36,300,8,3456,RC200,RC,Pcs,0
2016-10-13,1,3313,1,412150,2DP-F7483-00-PI1,2DP-F7483-00,MAT 1 (LH),2,55,8,1040,PI180,PI,Pcs,0
2016-10-13,1,3313,1,412157,2DP-F7484-00-PI1,2DP-F7484-00,MAT 2 (RH),2,55,8,1040,PI180,PI,Pcs,-1
2016-10-13,1,3315,1,412091,SC650-16105-PI1,SC650-16105,LIP MOULDING RR DOOR BELT RR RH,1,40,8,720,PI180,PI,Pcs,0
2016-10-13,1,3315,1,412098,SC650-16106-PI1,SC650-16106,LIP MOULDING RR DOOR BELT RR LH,1,40,8,720,PI180,PI,Pcs,-1
2016-10-13,1,3326,1,412189,68188-0K070-PI1,68188-0K070,WEATHERSTRIP RR DOOR QUARTER WINDOW RH,1,90,8,320,PI450,PI,Pcs,0
2016-10-13,1,3326,1,412198,68189-0K070-PI1,68189-0K070,WEATHERSTRIP RR DOOR QUARTER WINDOW LH,1,90,8,320,PI450,PI,Pcs,-1
2016-10-13,2,1108,1,412172,FST7450 U61 0010-RC1,FST7450 U61 0010,"CUSHION, SHIFT LOCK",64,288,3.25,2600,RC100,RC,Pcs,0
2016-10-13,2,1113,1,412141,88912-71L00-RC1,88912-71L00,CUSHION REAR,48,371,7,3255,RC200,RC,Pcs,0
2016-10-13,2,1118,1,412122,M578C34001A-RC1,M578C34001A,PACKING,36,300,7,3024,RC200,RC,Pcs,0
2016-10-13,2,3313,0,412151,2DP-F7483-00-PI1,2DP-F7483-00,MAT 1 (LH),2,55,2,260,PI180,PI,Pcs,0
2016-10-13,2,3313,0,412158,2DP-F7484-00-PI1,2DP-F7484-00,MAT 2 (RH),2,55,2,260,PI180,PI,Pcs,-1
2016-10-13,2,3315,1,412092,SC650-16105-PI1,SC650-16105,LIP MOULDING RR DOOR BELT RR RH,1,40,7,630,PI180,PI,Pcs,0
2016-10-13,2,3315,1,412099,SC650-16106-PI1,SC650-16106,LIP MOULDING RR DOOR BELT RR LH,1,40,7,630,PI180,PI,Pcs,-1
2016-10-13,2,3323,0,412085,B65-E4411-00-PI1,B65-E4411-00,CASE AIR FILTER,1,55,3.75,244,PI280,PI,Pcs,0
2016-10-13,2,3326,1,412190,68188-0K070-PI1,68188-0K070,WEATHERSTRIP RR DOOR QUARTER WINDOW RH,1,90,7,280,PI450,PI,Pcs,0
2016-10-13,2,3326,1,412199,68189-0K070-PI1,68189-0K070,WEATHERSTRIP RR DOOR QUARTER WINDOW LH,1,90,7,280,PI450,PI,Pcs,-1
2016-10-13,3,1108,1,412173,FST7450 U61 0010-RC1,FST7450 U61 0010,"CUSHION, SHIFT LOCK",64,288,6,4800,RC100,RC,Pcs,0
2016-10-13,3,1113,1,412142,88912-71L00-RC1,88912-71L00,CUSHION REAR,48,371,6,2790,RC200,RC,Pcs,0
2016-10-13,3,1118,1,412123,M578C34001A-RC1,M578C34001A,PACKING,36,300,6,2592,RC200,RC,Pcs,0
2016-10-13,3,1119,1,412159,5GJ-1542A-00-RC1,5GJ-1542A-00,DAMPER COVER 1,8,319,6,540,RC200,RC,Pcs,0
2016-10-13,3,3315,0,412093,SC650-16105-PI1,SC650-16105,LIP MOULDING RR DOOR BELT RR RH,1,40,6,540,PI180,PI,Pcs,0
2016-10-13,3,3315,0,412100,SC650-16106-PI1,SC650-16106,LIP MOULDING RR DOOR BELT RR LH,1,40,6,540,PI180,PI,Pcs,-1
2016-10-13,3,3326,1,412191,68188-0K070-PI1,68188-0K070,WEATHERSTRIP RR DOOR QUARTER WINDOW RH,1,90,6,240,PI450,PI,Pcs,0
2016-10-13,3,3326,1,412200,68189-0K070-PI1,68189-0K070,WEATHERSTRIP RR DOOR QUARTER WINDOW LH,1,90,6,240,PI450,PI,Pcs,-1
